modal_id,modal_title,sanctuary_code,icon_sound_subcategory,sound_category,sound_subcategory
ocnms_gray-whales,Gray whales,OCNMS,Animal: Marine mammals,Animal,Marine mammals
ocnms_humpback-whales,Humpback whales,OCNMS,Animal: Marine mammals,Animal,Marine mammals
ocnms_killer-whales,Killer whales,OCNMS,Animal: Marine mammals,Animal,Marine mammals
ocnms_seal-bombs,Seal bombs,OCNMS,Human-made: Explosions,Human-made,Explosions
ocnms_echosounders,Echosounders,OCNMS,Human-made: Sonar,Human-made,Sonar
ocnms_sonars,Sonars,OCNMS,Human-made: Sonar,Human-made,Sonar
ocnms_vessels,Vessels,OCNMS,Human-made: Vessels,Human-made,Vessels
ocnms_rain,Rain,OCNMS,Physical: Rain,Physical,Rain
ocnms_wind-and-waves,Wind and waves,OCNMS,Physical: Wind and waves,Physical,Wind and waves
ocnms_snapshots,Snapshots,OCNMS,Soundscape:,Soundscape,NA
pmnm_damselfish,Damselfish,PMNM,Animal: Fish,Animal,Fish
pmnm_fish-chorus,Fish chorus,PMNM,Animal: Fish,Animal,Fish
pmnm_snapping-shrimp,Snapping shrimp,PMNM,Animal: Invertebrates,Animal,Invertebrates
pmnm_dolphins,Dolphins,PMNM,Animal: Marine mammals,Animal,Marine mammals
pmnm_humpback-whales,Humpback whales,PMNM,Animal: Marine mammals,Animal,Marine mammals
pmnm_minke-whales,Minke whales,PMNM,Animal: Marine mammals,Animal,Marine mammals
pmnm_sonars,Sonars,PMNM,Human-made: Sonar,Human-made,Sonar
pmnm_vessels,Vessels,PMNM,Human-made: Vessels,Human-made,Vessels
pmnm_rain,Rain,PMNM,Physical: Rain,Physical,Rain
pmnm_wind-and-waves,Wind and waves,PMNM,Physical: Wind and waves,Physical,Wind and waves
pmnm_snapshots,Snapshots,PMNM,Soundscape:,Soundscape,NA
sbnms_cod,Cod,SBNMS,Animal: Fish,Animal,Fish
sbnms_haddock,Haddock,SBNMS,Animal: Fish,Animal,Fish
sbnms_blue-whales,Blue whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_dolphins,Dolphins,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_fin-whales,Fin whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_humpback-whales,Humpback whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_minke-whales,Minke whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_right-whales,Right whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_sei-whales,Sei whales,SBNMS,Animal: Marine mammals,Animal,Marine mammals
sbnms_pingers,Pingers,SBNMS,Human-made: Sonar,Human-made,Sonar
sbnms_vessels,Vessels,SBNMS,Human-made: Vessels,Human-made,Vessels
sbnms_rain,Rain,SBNMS,Physical: Rain,Physical,Rain
sbnms_wind-and-waves,Wind and waves,SBNMS,Physical: Wind and waves,Physical,Wind and waves
sbnms_snapshots,Snapshots,SBNMS,Soundscape:,Soundscape,NA
