yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1k, OL_2k, OL_4k, OL_8k, OL_16k, OL_32k, 
2018-11-02T10:00:02Z,107.315994,90.236075,84.301854,84.169169,83.66515,89.334629,101.263654,110.815304,113.637339,111.376573,108.372946, 
2018-11-02T11:00:02Z,106.296194,90.439937,86.57628,87.264869,85.930362,90.190116,101.752351,111.193563,114.086807,111.744382,108.776712, 
2018-11-02T12:00:02Z,106.949929,89.510385,84.454189,85.959798,85.109076,89.942421,102.057628,111.7653,114.552737,112.201317,109.135236, 
2018-11-02T13:00:02Z,105.184072,88.442261,83.943144,84.508685,83.2221,90.365647,102.745906,112.553335,115.491317,112.98692,109.947876, 
2018-11-02T14:00:02Z,106.938777,90.046714,88.641669,90.238765,90.185585,93.098154,103.926563,112.695405,114.866505,111.909413,108.482069, 
2018-11-02T15:00:02Z,106.969738,90.267488,83.803607,81.967708,82.103875,89.390274,101.496065,110.668649,112.924429,109.905753,106.508481, 
2018-11-02T16:00:02Z,106.584513,92.586941,92.298135,96.638042,92.081295,93.721733,101.919324,110.262048,112.470529,109.601151,106.16086, 
2018-11-02T17:00:02Z,107.313888,91.18385,83.892633,81.218125,81.498322,88.251532,100.032712,109.19313,111.327234,108.369783,104.914142, 
2018-11-02T18:00:02Z,108.230561,91.689273,84.392923,80.903265,80.404878,86.953364,98.600748,107.984737,110.156023,107.22896,103.710083, 
2018-11-02T19:00:02Z,107.821324,90.033736,83.375152,81.017351,80.118097,87.767145,99.090453,108.013604,110.054628,107.243687,103.763978, 
2018-11-02T20:00:02Z,108.241908,93.225182,93.333661,95.296056,92.356997,92.937873,99.971,108.332135,110.284584,107.507228,104.108566, 
2018-11-02T21:00:02Z,107.083113,88.937301,83.183894,86.840838,85.106508,90.253769,100.158405,108.882618,110.555133,107.779102,104.608139, 
2018-11-02T22:00:02Z,106.526707,90.597534,84.679302,88.756311,88.673356,90.740552,99.638277,108.235982,110.350582,107.503193,104.331972, 
2018-11-02T23:00:02Z,107.808852,94.530581,89.113896,89.727733,90.614781,92.93789,100.466778,108.829988,111.076395,108.280528,105.049446, 
2018-11-03T00:00:02Z,106.623644,90.850326,85.139372,86.000782,89.323199,92.360698,100.58521,110.055314,112.319261,109.601965,106.368219, 
2018-11-03T01:00:02Z,108.492422,90.428883,84.354748,89.487312,91.993671,93.699507,102.326269,111.864253,114.553232,112.164476,109.211476, 
2018-11-03T02:00:02Z,108.832366,90.992305,86.459612,90.974548,91.072145,93.001115,101.871617,111.246964,114.086953,111.970975,109.083144, 
2018-11-03T03:00:02Z,106.643589,89.739355,83.805941,87.742085,90.556222,93.020188,101.259518,110.029537,112.931666,110.895055,107.930683, 
2018-11-03T04:00:02Z,105.779622,90.144704,85.116577,88.878487,91.544194,93.690797,100.90506,110.295843,113.103511,111.006032,108.005128, 
2018-11-03T05:00:02Z,107.067343,91.721936,84.752624,85.163351,88.191322,91.636052,101.423827,110.737857,113.44147,111.206476,108.339514, 
2018-11-03T06:00:02Z,106.816734,90.837804,85.314785,85.718695,87.234347,91.118752,101.252494,110.748656,113.407157,111.270187,108.417995, 
2018-11-03T07:00:02Z,109.59754,97.193794,91.205584,84.487679,86.423357,90.6828,101.100319,110.722213,113.582804,111.583327,108.814506, 
2018-11-03T08:00:02Z,113.205611,100.387072,94.063391,85.157373,86.425708,91.280726,101.670525,111.120836,114.053051,111.868343,109.042321, 
2018-11-03T09:00:02Z,113.714585,100.564805,94.226252,85.885191,86.604767,91.240394,101.967213,111.549767,114.356925,112.185986,109.202165, 
2018-11-03T10:00:02Z,114.571115,100.347749,93.713718,84.991644,85.828551,90.940433,102.251796,111.790578,114.534824,112.226845,109.416043, 
2018-11-03T11:00:02Z,111.483556,97.83911,90.91122,84.848341,86.975607,91.210495,102.663892,112.1879,114.952099,112.637125,109.753159, 
2018-11-03T12:00:02Z,110.419492,96.398527,89.595369,84.236063,85.543634,90.91932,102.681458,112.491376,115.420813,113.108101,110.276922, 
2018-11-03T13:00:02Z,105.761874,91.640985,86.399255,83.959584,84.395638,90.497341,102.707868,112.751893,115.677352,113.24358,110.365279, 
2018-11-03T14:00:02Z,104.736996,89.527021,84.14474,81.768232,82.700662,90.55893,102.514085,112.539256,115.130155,112.205029,109.072724, 
2018-11-03T15:00:02Z,106.118865,91.639581,87.165404,89.896649,88.363436,92.040979,101.41525,110.654374,113.001237,110.100969,106.696122, 
2018-11-03T16:00:02Z,107.859843,95.367922,93.550687,98.91373,92.588615,94.032664,101.176914,110.080262,112.380843,109.549679,106.171322, 
2018-11-03T17:00:02Z,109.519079,92.295533,85.540674,83.192629,82.08778,87.98973,99.588992,109.210837,111.485008,108.663906,105.283386, 
2018-11-03T18:00:02Z,108.572789,91.681577,84.654699,84.140124,82.271148,87.411207,98.960388,108.594087,110.87864,108.140455,104.731017, 
2018-11-03T19:00:02Z,108.378593,89.99762,83.196317,82.293036,81.666512,87.41079,99.587726,108.317402,110.463534,107.911706,104.532633, 
2018-11-03T20:00:02Z,109.667102,90.848035,86.144279,86.64354,84.259801,88.173374,98.863275,108.164375,110.41922,107.687391,104.318428, 
2018-11-03T21:00:02Z,111.42455,92.741285,92.792071,96.511184,90.286503,91.186152,100.510087,108.767927,110.69556,108.001372,104.812546, 
2018-11-03T22:00:02Z,110.65184,93.189392,96.782917,103.619555,96.815851,95.864433,101.44514,109.339877,111.446996,108.743607,105.531683, 
2018-11-03T23:00:02Z,110.217546,91.898877,84.403587,84.359446,86.409952,90.140397,100.125386,109.606966,111.87892,109.031874,105.72904, 
2018-11-04T00:00:02Z,109.648956,92.894053,98.877231,103.933208,97.152955,97.040184,102.07861,110.393825,112.632818,109.809658,106.637787, 
2018-11-04T01:00:02Z,108.078831,90.172212,84.198861,88.989389,90.186124,92.115932,102.183472,111.44781,114.022795,111.771138,108.854493, 
2018-11-04T02:00:02Z,108.565231,90.32472,85.280898,89.97301,89.711879,92.141303,101.50656,110.853865,113.751411,111.731856,108.813979, 
2018-11-04T03:00:02Z,112.652245,93.452432,84.869153,87.988144,89.536742,91.428146,101.422928,110.75432,113.735067,111.669727,108.819313, 
2018-11-04T04:00:02Z,110.984938,93.358005,86.020664,85.892829,85.01106,90.451306,101.514708,110.895908,113.597408,111.529478,108.610405, 
2018-11-04T05:00:02Z,109.004034,93.356727,85.440535,82.795513,83.395055,89.284571,100.96656,110.496717,113.496938,111.47617,108.530971, 
2018-11-04T06:00:02Z,108.296235,91.965598,85.267869,83.030766,83.342095,89.895581,101.685415,111.146451,113.823191,111.833978,109.055329, 
2018-11-04T07:00:02Z,105.863989,91.750106,86.70301,82.575724,83.640604,90.262968,102.013209,111.094649,113.820209,111.52961,108.643695, 
2018-11-04T08:00:02Z,106.376141,94.186948,89.553543,88.307898,84.29485,89.505126,101.352338,110.921195,113.759381,111.5648,108.703812, 
2018-11-04T09:00:02Z,105.141164,94.787007,90.673252,88.505495,84.976813,89.940926,101.941302,111.220184,113.936191,111.781861,108.906111, 
2018-11-04T10:00:02Z,103.935731,89.102562,83.942993,88.957638,85.883993,89.605586,101.647566,111.253992,113.996903,111.847977,108.867211, 
2018-11-04T11:00:02Z,105.28936,87.648031,82.01979,85.978294,84.770766,90.071429,102.429029,111.287805,114.09335,111.95588,108.994113, 
2018-11-04T12:00:02Z,109.543941,89.960756,83.371953,85.239458,84.539099,90.085995,102.126771,111.632746,114.572935,112.373138,109.46512, 
