yyyy-mm-ddTHH:MM:SSZ, BB_0.02-24k, 
2018-11-05T16:59:09.000Z,117.752525, 
2018-11-05T17:59:08.000Z,117.565086, 
2018-11-05T18:59:08.000Z,118.123665, 
2018-11-05T19:59:08.000Z,117.980255, 
2018-11-05T20:59:07.000Z,119.206429, 
2018-11-05T21:59:07.000Z,118.104729, 
2018-11-05T22:59:07.000Z,118.442375, 
2018-11-05T23:59:06.000Z,119.11364, 
2018-11-06T00:59:06.000Z,120.413429, 
2018-11-06T01:59:06.000Z,119.949028, 
2018-11-06T02:59:05.000Z,119.836578, 
2018-11-06T03:59:05.000Z,120.100601, 
2018-11-06T04:59:05.000Z,119.886238, 
2018-11-06T05:59:04.000Z,120.136742, 
2018-11-06T06:59:04.000Z,119.811096, 
2018-11-06T07:59:04.000Z,119.990211, 
2018-11-06T08:59:03.000Z,120.069344, 
2018-11-06T09:59:03.000Z,120.281555, 
2018-11-06T10:59:03.000Z,119.826508, 
2018-11-06T11:59:02.000Z,119.757645, 
2018-11-06T12:59:02.000Z,120.97821, 
2018-11-06T13:59:02.000Z,122.055466, 
2018-11-06T14:59:01.000Z,118.38443, 
2018-11-06T15:59:01.000Z,118.043877, 
2018-11-06T16:59:01.000Z,118.457169, 
2018-11-06T17:58:59.000Z,117.856926, 
2018-11-06T18:58:59.000Z,119.336723, 
2018-11-06T19:58:59.000Z,119.931625, 
2018-11-06T20:58:58.000Z,118.966377, 
2018-11-06T21:58:58.000Z,117.560143, 
2018-11-06T22:58:58.000Z,117.688286, 
2018-11-06T23:58:57.000Z,118.085503, 
2018-11-07T00:58:57.000Z,120.440796, 
2018-11-07T01:58:57.000Z,120.35376, 
2018-11-07T02:58:56.000Z,119.905724, 
2018-11-07T03:58:56.000Z,119.865662, 
2018-11-07T04:58:56.000Z,119.976952, 
2018-11-07T05:58:55.000Z,120.471771, 
2018-11-07T06:58:55.000Z,120.002243, 
2018-11-07T07:58:55.000Z,119.831795, 
2018-11-07T08:58:54.000Z,120.42482, 
2018-11-07T09:58:54.000Z,120.329292, 
2018-11-07T10:58:54.000Z,120.896774, 
2018-11-07T11:58:53.000Z,121.354538, 
2018-11-07T12:58:53.000Z,121.688316, 
2018-11-07T13:58:53.000Z,122.411278, 
2018-11-07T14:58:52.000Z,119.531738, 
2018-11-07T15:58:52.000Z,118.025787, 
2018-11-07T16:58:52.000Z,117.887886, 
2018-11-07T17:58:51.000Z,118.431305, 
2018-11-07T18:58:51.000Z,118.092949, 
2018-11-07T19:58:51.000Z,118.540428, 
2018-11-07T20:58:50.000Z,118.589607, 
2018-11-07T21:58:50.000Z,121.246704, 
2018-11-07T22:58:50.000Z,118.188873, 
2018-11-07T23:58:48.000Z,119.319962, 
2018-11-08T00:58:48.000Z,120.507057, 
2018-11-08T01:58:48.000Z,120.386337, 
2018-11-08T02:58:47.000Z,119.492485, 
2018-11-08T03:58:47.000Z,119.762032, 
2018-11-08T04:58:47.000Z,120.167824, 
2018-11-08T05:58:46.000Z,120.771988, 
2018-11-08T06:58:46.000Z,122.308853, 
2018-11-08T07:58:46.000Z,122.160019, 
2018-11-08T08:58:45.000Z,121.45639, 
2018-11-08T09:58:45.000Z,121.692169, 
2018-11-08T10:58:45.000Z,121.729813, 
2018-11-08T11:58:44.000Z,121.192375, 
2018-11-08T12:58:44.000Z,121.576416, 
2018-11-08T13:58:44.000Z,121.024025, 
2018-11-08T14:58:42.000Z,118.878426, 
2018-11-08T15:58:42.000Z,119.869438, 
2018-11-08T16:58:42.000Z,117.727806, 
2018-11-08T17:58:41.000Z,116.908211, 
2018-11-08T18:58:41.000Z,119.699959, 
2018-11-08T19:58:41.000Z,117.572334, 
2018-11-08T20:58:39.000Z,120.057945, 
2018-11-08T21:58:39.000Z,119.261574, 
2018-11-08T22:58:39.000Z,117.801598, 
2018-11-08T23:58:38.000Z,118.157646, 
2018-11-09T00:58:38.000Z,119.953827, 
2018-11-09T01:58:38.000Z,119.918739, 
2018-11-09T02:58:37.000Z,119.460518, 
2018-11-09T03:58:37.000Z,119.294701, 
2018-11-09T04:58:37.000Z,119.494728, 
2018-11-09T05:58:36.000Z,119.901947, 
2018-11-09T06:58:36.000Z,119.93853, 
2018-11-09T07:58:36.000Z,120.697006, 
2018-11-09T08:58:35.000Z,120.468018, 
2018-11-09T09:58:35.000Z,119.827583, 
2018-11-09T10:58:35.000Z,119.771652, 
2018-11-09T11:58:34.000Z,120.343925, 
2018-11-09T12:58:34.000Z,121.041092, 
2018-11-09T13:58:34.000Z,120.82917, 
2018-11-09T14:58:33.000Z,117.783928, 
2018-11-09T15:58:33.000Z,116.887024, 
2018-11-09T16:58:33.000Z,116.466637, 
2018-11-09T17:58:32.000Z,115.558029, 
2018-11-09T18:58:32.000Z,115.594055, 
2018-11-09T19:58:32.000Z,115.739716, 
2018-11-09T20:58:31.000Z,116.501801, 
2018-11-09T21:58:31.000Z,115.604256, 
2018-11-09T22:58:31.000Z,115.764778, 
2018-11-09T23:58:30.000Z,116.144211, 
2018-11-10T00:58:30.000Z,118.613075, 
2018-11-10T01:58:30.000Z,118.430519, 
2018-11-10T02:58:29.000Z,117.806168, 
2018-11-10T03:58:29.000Z,117.70858, 
2018-11-10T04:58:29.000Z,117.689926, 
2018-11-10T05:58:27.000Z,117.935165, 
2018-11-10T06:58:27.000Z,118.340134, 
2018-11-10T07:58:27.000Z,118.300117, 
2018-11-10T08:58:26.000Z,118.595032, 
2018-11-10T09:58:26.000Z,119.116875, 
2018-11-10T10:58:26.000Z,119.020271, 
2018-11-10T11:58:25.000Z,119.376617, 
2018-11-10T12:58:25.000Z,120.347595, 
2018-11-10T13:58:25.000Z,120.078323, 
2018-11-10T14:58:24.000Z,118.388626, 
2018-11-10T15:58:24.000Z,117.855972, 
2018-11-10T16:58:24.000Z,117.594078, 
2018-11-10T17:58:23.000Z,117.380188, 
2018-11-10T18:58:23.000Z,116.559929, 
2018-11-10T19:58:23.000Z,116.262955, 
2018-11-10T20:58:22.000Z,116.342934, 
2018-11-10T21:58:22.000Z,117.294464, 
2018-11-10T22:58:22.000Z,116.4655, 
2018-11-10T23:58:21.000Z,117.217773, 
2018-11-11T00:58:21.000Z,119.441322, 
2018-11-11T01:58:21.000Z,119.148949, 
2018-11-11T02:58:20.000Z,118.685677, 
2018-11-11T03:58:20.000Z,118.902496, 
